Company_Name,Cust_Id,Cust_Name,Category,Start_Date,Start_Cust_Date,End_Date,Updated_Date,Cust_Value,Cust_Type,Exchange,Location,Last_Date_UTC,Cust_Category,Index
BP,50,basha,Premium,3-Feb-23,1.75E+12,1.76E+12,1.73E+12,112,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,51,kumaran,Premium,6-Feb-23,1.75E+12,1.75E+12,1.73E+12,115,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,52,karthik,Premium,9-Feb-23,1.75E+12,1.76E+12,1.73E+12,118,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,53,parvesh,Premium,3-Jan-24,1.76E+12,1.76E+12,1.73E+12,121,STD,EUR,UK,1.72E+12,TOI,FALSE
BP,54,danush,Premium,8-Jan-24,1.76E+12,1.76E+12,1.73E+12,124,STD,EUR,UK,1.72E+12,TOI,FALSE
BP,55,vidish,Premium,9-Jan-24,1.76E+12,1.76E+12,1.73E+12,127,STD,EUR,UK,1.72E+12,EDA,FALSE
BP,56,sam,Premium,3-Mar-23,1.76E+12,1.76E+12,1.73E+12,130,STD,EUR,UK,1.72E+12,EDA,FALSE
BP,57,sourab,Premium,6-Mar-23,1.76E+12,1.76E+12,1.73E+12,133,STD,EUR,UK,1.72E+12,EDA,FALSE
BP,58,jai,Premium,9-Mar-23,1.76E+12,1.76E+12,1.73E+12,136,STD,EUR,UK,1.72E+12,EDA,TRUE
Reliance,59,sree,Lower,3-Jan-25,1.76E+12,1.76E+12,1.73E+12,139,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,60,sreenath,Lower,6-Jan-25,1.76E+12,1.76E+12,1.73E+12,142,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,61,Naresh,Lower,9-Jan-25,1.76E+12,1.77E+12,1.73E+12,145,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,62,kamal,Lower,3-Apr-23,1.76E+12,1.77E+12,1.73E+12,148,STD,EUR,UK,1.72E+12,SETTL,TRUE
Reliance,63,kajal,Lower,6-Apr-23,1.76E+12,1.76E+12,1.73E+12,151,STD,EUR,UK,1.72E+12,SETTL,TRUE
Reliance,64,paul,Lower,11-Apr-23,1.76E+12,1.77E+12,1.73E+12,154,STD,EUR,SL,1.72E+12,SETTL,TRUE
Reliance,65,sweta,Lower,3-Feb-23,1.71E+12,1.72E+12,1.73E+12,157,STD,EUR,SL,1.72E+12,SETTL,TRUE
Reliance,66,narendra,Lower,6-Feb-23,1.71E+12,1.72E+12,1.73E+12,160,STD,EUR,SL,1.72E+12,SETTL,FALSE
Reliance,67,ramesh,Lower,9-Feb-23,1.71E+12,1.72E+12,1.73E+12,163,STD,EUR,SL,1.72E+12,SETTL,FALSE
Reliance,68,kalmesh,Lower,3-Jan-24,1.72E+12,1.73E+12,1.73E+12,166,STD,EUR,SL,1.72E+12,SETTL,FALSE
Reliance,68,kalmesh,Lower,3-Jan-24,1.72E+12,1.73E+12,1.73E+12,166,STD,EUR,SL,1.72E+12,SETTL,FALSE
Sony,100,Naresh,Standard,3-Feb-23,1.73E+12,1.73E+12,1.73E+12,30,STD,EUR,IND,1.72E+12,SETTL,TRUE
Sony,101,kamal,Standard,6-Feb-23,1.73E+12,1.73E+12,1.73E+12,25,STD,EUR,IND,1.72E+12,TOI,FALSE
Sony,102,kajal,Standard,9-Feb-23,1.73E+12,1.73E+12,1.73E+12,28,STD,EUR,IND,1.72E+12,TOI,FALSE
Sony,103,kiran,Standard,3-Jan-24,1.73E+12,1.73E+12,1.73E+12,31,STD,EUR,IND,1.72E+12,TOI,FALSE
Sony,104,sam,Standard,8-Jan-24,1.73E+12,1.73E+12,1.73E+12,34,STD,EUR,IND,1.72E+12,TOI,FALSE
Sony,105,sourab,Standard,9-Jan-24,1.73E+12,1.74E+12,1.73E+12,37,STD,EUR,IND,1.72E+12,TOI,TRUE
BPL,106,sreenath,Upper,9-Mar-23,1.73E+12,1.74E+12,1.73E+12,46,STD,EUR,IND,1.72E+12,SETTL,TRUE
BPL,107,kamaesh,Upper,3-Jan-25,1.74E+12,1.74E+12,1.73E+12,49,STD,EUR,IND,1.72E+12,SETTL,FALSE
BPL,108,david,Upper,6-Jan-25,1.74E+12,1.74E+12,1.73E+12,52,STD,EUR,IND,1.72E+12,SETTL,FALSE
BPL,109,joes,Upper,9-Jan-25,1.74E+12,1.74E+12,1.73E+12,55,STD,EUR,IND,1.72E+12,SETTL,FALSE
Philips,110,narendra,Medium,11-Apr-23,1.74E+12,1.74E+12,1.73E+12,64,STD,EUR,USA,1.72E+12,TOI,FALSE
Philips,111,ramesh,Medium,3-Feb-23,1.74E+12,1.74E+12,1.73E+12,67,STD,EUR,USA,1.72E+12,TOI,FALSE
Philips,112,rakesh,Medium,6-Feb-23,1.74E+12,1.74E+12,1.73E+12,70,STD,EUR,USA,1.72E+12,TOI,TRUE
Philips,113,rajesh,Medium,9-Feb-23,1.74E+12,1.75E+12,1.73E+12,73,STD,EUR,USA,1.72E+12,TOI,TRUE
Philips,114,mukesh,Medium,3-Jan-24,1.74E+12,1.75E+12,1.73E+12,76,STD,EUR,USA,1.72E+12,TOI,TRUE
Philips,115,venkatesh,Medium,8-Jan-24,1.74E+12,1.74E+12,1.73E+12,79,STD,EUR,USA,1.72E+12,TOI,TRUE
BP,116,rishab,Premium,11-Apr-23,1.75E+12,1.76E+12,1.73E+12,109,STD,EUR,UK,1.72E+12,EDA,TRUE
BP,117,basha,Premium,3-Feb-23,1.75E+12,1.76E+12,1.73E+12,112,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,118,kumaran,Premium,6-Feb-23,1.75E+12,1.75E+12,1.73E+12,115,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,119,karthik,Premium,9-Feb-23,1.75E+12,1.76E+12,1.73E+12,118,STD,EUR,UK,1.72E+12,TOI,TRUE
BP,120,parvesh,Premium,3-Jan-24,1.76E+12,1.76E+12,1.73E+12,121,STD,EUR,UK,1.72E+12,TOI,FALSE
Reliance,121,sree,Lower,3-Jan-25,1.76E+12,1.76E+12,1.73E+12,139,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,122,sreenath,Lower,6-Jan-25,1.76E+12,1.76E+12,1.73E+12,142,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,123,Naresh,Lower,9-Jan-25,1.76E+12,1.77E+12,1.73E+12,145,STD,EUR,UK,1.72E+12,TOI,TRUE
Reliance,124,kamal,Lower,3-Apr-23,1.76E+12,1.77E+12,1.73E+12,148,STD,EUR,UK,1.72E+12,SETTL,TRUE
Reliance,125,kajal,Lower,6-Apr-23,1.76E+12,1.76E+12,1.73E+12,151,STD,EUR,UK,1.72E+12,SETTL,TRUE
Reliance,126,paul,Lower,11-Apr-23,1.76E+12,1.77E+12,1.73E+12,154,STD,EUR,SL,1.72E+12,SETTL,TRUE
Reliance,127,sweta,Lower,3-Feb-23,1.71E+12,1.72E+12,1.73E+12,157,STD,EUR,SL,1.72E+12,SETTL,TRUE
Reliance,128,narendra,Lower,6-Feb-23,1.71E+12,1.72E+12,1.73E+12,160,STD,EUR,SL,1.72E+12,SETTL,FALSE
Reliance,129,ramesh,Lower,9-Feb-23,1.71E+12,1.72E+12,1.73E+12,163,STD,EUR,SL,1.72E+12,SETTL,FALSE
